name,id,avg_household_income,median_income,percent_poverty,per_capita_income
17111870200,17111870200,93952,61544,1.4,33513
17111870301,17111870301,71261,48333,6.7,24238
17111870302,17111870302,49147,33125,17.2,16071
17111870401,17111870401,88061,84620,1.6,30624
17111870402,17111870402,66731,53821,8.5,21486
17111870500,17111870500,88357,70161,1.3,31707
17111870603,17111870603,68914,64952,0.9,24291
17111870604,17111870604,85648,59585,2.4,33014
17111870605,17111870605,92247,64907,4.2,34634
17111870606,17111870606,58214,47671,8.9,23759
17111870702,17111870702,94813,78815,2.1,35281
17111870703,17111870703,91300,80047,1.7,30797
17111870704,17111870704,80986,58646,1.1,30529
17111870803,17111870803,126079,92895,0.6,46110
17111870807,17111870807,87178,69796,6.5,29505
17111870808,17111870808,107123,81851,0.7,36581
17111870809,17111870809,104018,86841,0.8,37426
17111870810,17111870810,111501,89551,1.7,39757
17111870811,17111870811,77683,64554,2.4,29577
17111870812,17111870812,85659,76060,1.3,31008
17111870902,17111870902,99011,74038,2.3,36498
17111870903,17111870903,63456,42719,4.2,23510
17111870904,17111870904,89292,67690,4.1,33134
17111870905,17111870905,68912,49829,4.9,27374
17111871003,17111871003,77649,61697,2.3,27759
17111871004,17111871004,83291,62347,4.7,30609
17111871104,17111871104,103175,92521,1.5,31842
17111871105,17111871105,120832,95781,0.3,41198
17111871106,17111871106,120923,96374,0.4,36977
17111871107,17111871107,123560,102309,0.3,37658
17111871108,17111871108,119599,108547,0.5,35310
17111871109,17111871109,102076,93472,2.6,28893
17111871201,17111871201,104886,79921,3.3,40091
17111871202,17111871202,78324,62247,4.6,27570
17111871205,17111871205,95061,75402,12.7,33985
17111871206,17111871206,124452,105387,1.4,41435
17111871207,17111871207,109347,81963,1.7,38336
17111871208,17111871208,106705,93541,1.9,35442
17111871209,17111871209,84903,70395,1.7,37710
17111871301,17111871301,92035,66632,2.0,34357
17111871304,17111871304,102286,77560,0.8,39578
17111871305,17111871305,130258,115009,0.4,39068
17111871306,17111871306,114344,93711,0.3,38536
17111871307,17111871307,113952,100415,2.9,38211
17111871310,17111871310,117370,94051,1.1,42812
17111871311,17111871311,84271,73125,0.5,31395
17111871402,17111871402,123108,88742,2.2,45707
17111871404,17111871404,95518,84940,0.9,35567
17111871500,17111871500,90764,67161,1.5,37256
17111871600,17111871600,110677,88249,1.4,42925
17113000102,17113000102,57683,40463,15.4,22310
17113000104,17113000104,64978,47420,13.3,22797
17113000105,17113000105,94372,84682,3.3,39231
17113000200,17113000200,23260,13088,14.8,1012
17113000301,17113000301,56506,32761,14.9,21394
17113000302,17113000302,72870,64191,3.0,29158
17113000400,17113000400,55426,33452,49.9,18886
17113000501,17113000501,63352,27625,43.7,31464
17113000502,17113000502,95495,74416,4.8,41848
17113000504,17113000504,72954,45714,5.0,32660
17113000505,17113000505,136777,128953,0.2,44723
17113001103,17113001103,101325,83200,2.1,43475
17113001104,17113001104,110859,91593,2.6,44989
17113001105,17113001105,91987,77322,2.0,35558
17113001106,17113001106,68184,51721,5.0,28565
17113001200,17113001200,73262,49085,18.5,36427
17113001301,17113001301,63931,53735,7.8,27485
17113001302,17113001302,46733,27813,26.0,9237
17113001303,17113001303,43947,34903,31.7,18596
17113001402,17113001402,104311,91136,2.3,36988
17113001403,17113001403,56828,46667,6.3,22749
17113001404,17113001404,69097,39010,2.9,28057
17113001500,17113001500,48481,39848,20.2,18393
17113001600,17113001600,29670,19863,33.1,15071
17113001700,17113001700,45859,32800,26.8,22709
17113001800,17113001800,124562,63613,1.3,58036
17113002101,17113002101,61889,44512,7.5,29018
17113002102,17113002102,90835,82522,6.4,31954
17113005101,17113005101,151836,114090,1.0,49953
17113005102,17113005102,98280,76213,0.5,37818
17113005201,17113005201,116397,102108,0.1,44203
17113005202,17113005202,100609,71398,0.6,37589
17113005400,17113005400,103588,91341,1.1,36588
17113005501,17113005501,67119,56196,3.0,27971
17113005502,17113005502,83186,73043,0.6,31968
17113005601,17113005601,72903,55368,1.7,28829
17113005602,17113005602,87419,59086,1.2,34620
17113005700,17113005700,79225,60426,2.5,31727
17113005800,17113005800,72741,53427,4.8,39643
17113005900,17113005900,53089,38320,8.0,25161
17113006000,17113006000,94973,77211,1.9,36310
17115000200,17115000200,38016,26505,37.2,14015
17115000300,17115000300,39165,26063,29.2,16383
17115000400,17115000400,41185,24228,16.1,16481
17115000500,17115000500,33183,12948,48.3,13567
17115000600,17115000600,42920,19440,46.4,16620
17115000900,17115000900,30222,21180,35.7,11671
17115001000,17115001000,36889,27007,10.9,15871
17115001100,17115001100,49165,41325,7.4,22954
17115001200,17115001200,58899,34177,22.7,26170
17115001300,17115001300,83810,64865,1.7,36706
17115001400,17115001400,61430,49174,3.1,27655
17115001500,17115001500,72253,58736,3.1,31549
17115001600,17115001600,69948,61709,1.9,18831
17115001700,17115001700,51000,43885,11.7,21447
17115001801,17115001801,99543,65644,1.2,42313
17115001802,17115001802,56790,38482,2.9,25005
17115001900,17115001900,45794,27679,16.2,21226
17115002000,17115002000,36155,24118,25.4,15645
17115002100,17115002100,45731,28864,13.5,18882
17115002200,17115002200,71986,44702,2.6,28934
17115002300,17115002300,80398,64976,1.4,32046
17115002401,17115002401,91255,63942,1.0,40799
17115002402,17115002402,84793,55898,1.3,37162
17115002500,17115002500,94848,72143,1.9,36417
17115002601,17115002601,88771,66199,0.4,37350
17115002602,17115002602,79357,68125,3.6,32662
17115002700,17115002700,65873,56131,2.4,25949
17115002800,17115002800,76866,57578,1.4,30117
17115002901,17115002901,131535,95078,1.9,50341
17115002902,17115002902,74392,65724,1.8,33473
17115002903,17115002903,45238,31385,12.0,20581
17115002904,17115002904,74926,58625,3.6,32932
17115003000,17115003000,75760,58112,1.4,29237
17115003100,17115003100,29584,18390,38.7,9141
17117956000,17117956000,51161,42965,7.2,21164
17117956100,17117956100,67193,49676,4.4,27857
17117956200,17117956200,61614,45000,4.3,26025
17117956300,17117956300,82477,57865,0.7,29799
17117956400,17117956400,62869,43261,6.3,27583
17117956500,17117956500,73063,61707,1.2,28404
17117956600,17117956600,67773,59633,3.0,26240
17117956700,17117956700,67342,48914,3.0,26152
17117956800,17117956800,63346,48125,0.9,26221
17117956900,17117956900,61128,45028,4.7,24979
17117957000,17117957000,50590,44148,1.8,20510
17117957100,17117957100,54448,46377,7.4,22403
17117957200,17117957200,61309,46722,4.0,25221
17119400101,17119400101,54880,53846,7.3,23917
17119400102,17119400102,51826,39199,22.6,20349
17119400200,17119400200,39536,31926,9.1,15268
17119400600,17119400600,48604,23654,34.3,19197
17119400700,17119400700,37060,22033,39.0,14432
17119400801,17119400801,82349,67500,2.3,34971
17119400802,17119400802,49032,37952,16.1,20807
17119400903,17119400903,52232,36953,3.7,20086
17119400904,17119400904,69223,45395,3.2,29241
17119400951,17119400951,63383,49107,2.9,27161
17119400952,17119400952,73065,53826,5.1,27846
17119401000,17119401000,52072,40060,5.3,21934
17119401100,17119401100,53704,48387,6.5,22563
17119401200,17119401200,58334,49250,2.1,23923
17119401300,17119401300,43193,29458,8.4,19228
17119401400,17119401400,48955,38063,4.5,20003
17119401500,17119401500,44505,24873,15.3,18653
17119401701,17119401701,39456,34518,9.4,14508
17119401721,17119401721,76572,67246,4.8,29984
17119401722,17119401722,77004,64700,7.5,34170
17119401800,17119401800,68183,54925,1.7,28051
17119401901,17119401901,74580,54725,3.9,29978
17119401903,17119401903,66255,55806,1.8,25968
