name,id,avg_household_income,median_income,percent_poverty,per_capita_income
Brighton village,1708264,69956,60591,2.2,27250
Brimfield village,1708303,105828,92926,0.4,41575
Broadlands village,1708420,90322,60455,0.9,35456
Broadview village,1708446,75992,49233,7.7,29766
Broadwell village,1708472,81530,56907,0.1,37110
Brocton village,1708524,62427,43558,2.4,25204
Brookfield village,1708576,86608,71660,6.6,33876
Brooklyn village,1708667,28115,16143,7.3,11261
Brookport city,1708706,54629,51071,2.8,23040
Broughton village,1708875,61277,50714,1.0,26532
Browning village,1708953,67158,55556,0.9,27942
Browns village,1708979,56375,40849,1.0,24822
Brownstown village,1708992,57688,37904,6.0,22118
Brussels village,1709148,66314,51933,0.7,26338
Bryant village,1709161,62389,49063,0.9,26090
Buckingham village,1709304,84639,65135,0.2,27084
Buckley village,1709317,78424,65664,1.2,32285
Buckner village,1709330,56824,42806,1.2,24845
Buda village,1709356,77231,47331,1.9,31007
Buffalo Grove village,1709447,124095,94513,1.5,48464
Buffalo village,1709434,74855,56091,1.0,31103
Bull Valley village,1709531,101244,83286,0.2,40704
Bulpitt village,1709538,57688,43563,0.9,23127
Buncombe village,1709551,57320,41528,0.8,21742
Bunker Hill city,1709577,67342,48914,3.7,26383
Burbank city,1709642,70476,55375,11.9,22628
Bureau Junction village,1709681,54393,45319,0.9,22129
Burlington village,1709759,111144,83877,0.1,43163
Burnham village,1709798,54303,39821,17.2,18475
Burnt Prairie village,1709889,60926,51774,0.2,30463
Burr Ridge village,1709980,163301,94134,1.4,60934
Bush village,1710084,46320,33545,1.8,20044
Bushnell city,1710110,49774,35663,9.6,20855
Butler village,1710149,72013,59286,0.6,28805
Byron city,1710240,74450,56394,3.8,28427
Cabery village,1710292,75375,58429,0.3,29470
Cahokia village,1710370,52258,32381,21.1,17576
Cairo city,1710383,28760,17590,36.3,12881
Caledonia village,1710422,93464,73577,0.1,34634
Calhoun village,1710448,61917,52710,0.5,28079
Calumet City city,1710487,59487,41598,18.7,22448
Calumet Park village,1710513,65356,43835,9.7,23957
Camargo village,1710591,61188,48104,1.1,26675
Cambria village,1710630,53903,36614,4.5,23308
Cambridge village,1710643,64071,58378,3.4,24887
Camden village,1710695,57609,42773,0.7,26795
Camp Point village,1710877,55193,42230,3.4,21502
Campbell Hill village,1710773,62678,57802,1.0,26862
Campton Hills village,1710906,149391,113171,0.5,46867
Campus village,1710916,67031,54651,0.2,25036
Canton city,1711007,54556,39948,14.5,20058
Cantrall village,1711033,98624,88317,0.0,39024
Capron village,1711124,72021,63845,2.5,23082
Carbon Cliff village,1711150,64599,44304,3.2,25579
Carbon Hill village,1711176,73591,59677,0.7,29650
Carbondale city,1711163,44008,20250,24.7,18749
Carlinville city,1711202,63901,44784,7.8,26254
Carlock village,1711215,100609,71398,0.3,37364
Carlyle city,1711228,60292,52238,2.7,24881
Carmi city,1711293,51729,35823,8.8,22607
Carol Stream village,1711332,94092,77133,5.8,33798
Carpentersville village,1711358,86001,58144,6.9,24761
Carrier Mills village,1711397,53369,34204,3.1,24021
Carrollton city,1711462,70523,0,4.0,30037
Carterville city,1711514,67823,44600,4.3,28136
Carthage city,1711527,53763,45579,4.6,23755
Cary village,1711592,116022,96195,2.2,38386
Casey city,1711618,61040,39714,4.1,25637
Caseyville village,1711644,62815,41541,2.9,24564
Catlin village,1711774,68802,57924,1.0,28364
Cave-In-Rock village,1711826,43833,36168,2.2,19849
Cedar Point village,1711982,51659,42472,0.8,23312
Cedarville village,1712008,67354,57974,0.6,27905
Central City village,1712151,36858,22948,5.4,15253
Centralia city,1712164,52059,37036,6.9,21991
Centreville city,1712203,41711,28189,6.5,15831
Cerro Gordo village,1712268,72915,65597,3.3,28740
Chadwick village,1712294,67767,54958,0.7,28042
