year,tract_id,tract_name,num_tracts,num_vacants,pct_vacant,pct_change,pct_owner_occupied
2012,1763641,Richmond village,1002,326.94,32.6,6.03,56.59
2012,1744498,Long Creek village,539,16.95,3.14,-4.48,85.01
2012,1780125,West Dundee village,2945,107.61,3.65,10.92,74.91
2012,1736347,Hoyleton village,213,15.11,7.09,17.97,77.37
2012,1711293,Carmi city,2539,266.23,10.49,1.29,65.83
2012,1727091,Forsyth village,1353,134.93,9.97,-6.91,87.71
2012,1773391,Sugar Grove village,3193,484.45,15.17,-0.49,91.17
2012,1782985,Wood Dale city,5529,186.68,3.38,24.54,69.99
2012,1754534,Oak Brook village,3187,150.57,4.72,6.34,77.39
2012,1709681,Bureau Junction village,162,20.65,12.67,88.96,52.17
2012,1755002,Oakwood village,675,54.49,8.07,-0.2,74.53
2012,1708225,Bridgeview village,5888,344.54,5.85,29.62,69.85
2012,1769875,Sidney village,505,79.77,15.8,1.7,79.48
2012,1765884,Rosewood Heights CDP,1752,44.64,2.55,16.28,77.44
2012,1751271,Muddy village,36,7.67,21.31,32.5,61.61
2012,1717991,Cuba city,564,179.6,31.79,3.73,76.26
2012,1756978,Otterville town,52,21.32,41.0,0.98,80.43
2012,1709577,Bunker Hill city,745,88.87,11.93,-0.91,83.5
2012,1704117,Batchtown village,109,9.01,8.19,8.81,63.66
2012,1739883,Kildeer village,1311,295.09,22.49,-0.75,90.09
2012,1778708,Waltonville village,187,22.49,12.03,2.33,78.74
2012,1747280,Martinton village,151,17.25,11.35,5.38,82.1
2012,1708420,Broadlands village,147,23.22,15.8,1.71,77.29
2012,1783765,Yale village,43,4.03,9.16,-3.13,70.25
2012,1769277,Sheridan village,321,79.24,24.68,15.24,177.45
2012,1701205,Alto Pass village,160,22.76,14.14,31.64,76.08
2012,1732408,Hamel village,337,28.39,8.42,1.36,83.0
2012,1755171,Odell village,454,123.02,27.04,5.88,50.83
2012,1756159,Oneida city,309,173.36,55.92,-0.03,75.12
2012,1717523,Crete village,3386,81.61,2.41,33.64,82.49
2012,1778383,Waggoner village,114,35.09,30.51,-3.15,72.58
2012,1783102,Woodland village,135,26.02,19.27,-0.81,70.31
2012,1768458,Seaton village,94,24.13,25.67,2.23,87.13
2012,1726454,Flora city,2355,322.27,13.68,1.85,53.49
2012,1732668,Hanna City village,584,68.68,11.76,0.2,72.25
