tract_id,tract_name,pct_female_jobs,pct_male_jobs
1757654,Park City city,51.75,48.25
1766924,St. Johns village,57.14,44.64
1734332,Herrick village,60.0,42.22
1749698,Mitchell CDP,32.58,67.42
1764018,Ridgway village,42.2,57.8
1740065,Kingston village,42.86,57.14
1710149,Butler village,43.75,55.21
1739077,Karnak village,50.0,50.0
1738856,Kampsville village,69.32,30.68
1769563,Shipman town,56.32,44.83
1749477,Milton village,16.67,83.33
1719915,Dieterich village,43.96,54.95
1744823,Lostant village,42.72,57.28
1749308,Millington village,55.25,44.75
1777005,Urbana city,61.7,38.3
1777551,Vermilion village,26.92,73.08
1780281,Westfield village,23.17,76.83
1745694,McHenry city,55.7,44.31
1700646,Aledo city,53.85,46.15
1723555,Ellsworth village,38.89,61.11
1748892,Midlothian village,56.31,43.69
1709330,Buckner village,44.44,57.78
1736815,Hurst city,45.45,54.55
1700243,Addison village,38.16,61.84
1715495,Colfax village,59.2,41.29
1728742,Garrett village,32.35,66.18
1745564,McCook village,26.6,73.4
1777317,Vandalia city,54.79,45.21
1722736,Effingham city,53.2,46.81
1781256,White Hall city,57.39,42.48
1724673,Ewing village,45.95,51.35
1720591,Downers Grove village,48.05,51.95
1769810,Sibley village,15.79,84.21
1751661,Naples town,36.0,60.0
1754625,Oakford village,57.78,42.22
1723022,Eldred village,25.0,75.0
1762848,Raritan village,66.67,33.33
1717939,Crystal Lawns CDP,46.53,53.47
1715300,Cobden village,42.86,57.14
1736074,Hooppole village,27.5,72.5
1718459,Dalzell village,65.4,34.6
1716405,Cornell village,58.76,41.24
1723737,El Paso city,43.86,56.14
1728638,Gardner village,48.45,51.55
1782855,Wonder Lake village,38.15,61.85
1702726,Atkinson town,27.75,72.25
1765221,Rockwood village,50.0,50.0
1755886,Olivet CDP,52.63,47.37
1752168,New Berlin village,39.78,60.22
1767860,Savoy village,55.63,44.32
1719031,Deer Grove village,50.0,75.0
1730133,Golconda city,66.39,33.61
1726012,Fieldon village,20.0,80.0
1755249,O'Fallon city,50.82,49.15
1718030,Cullom village,41.84,57.14
1774119,Swansea village,56.13,43.92
1778851,Warren village,46.22,53.78
1753169,Nokomis city,53.4,46.6
1721540,Earlville city,45.62,54.38
1700815,Allendale village,26.09,73.91
1774379,Tallula village,58.44,41.56
1752701,New Milford village,31.48,68.52
1769368,Sherrard village,55.56,50.0
1766196,Royal Lakes village,44.44,50.0
1782530,Winnetka village,63.29,36.66
1718147,Curran village,34.94,65.06
1728963,Georgetown city,52.52,47.29
1719499,De Pue village,40.63,59.37
1721098,Dunfermline village,34.78,65.22
1764278,Riverdale village,42.68,57.32
1782270,Winchester city,47.73,51.89
1713230,Chestnut CDP,52.38,47.62
1702479,Ashkum village,53.79,46.21
1775159,Thompsonville village,46.15,52.31
1782075,Wilmette village,59.27,40.75
1706171,Bishop Hill village,46.67,53.33
1774970,The Galena Territory CDP,52.74,47.26
1765000,Rockford city,52.89,47.1
1775081,Third Lake village,57.16,42.84
1746487,Mansfield village,40.0,61.25
1741105,Lake Forest city,56.45,43.55
1741456,Lake Summerset CDP,48.39,51.25
1746331,Manchester village,47.92,52.08
1769797,Shumway village,26.92,73.08
1779813,Wenona city,50.41,49.59
1745824,McLeansboro city,59.06,40.94
1781815,Williamson village,57.14,42.86
1757394,Palos Hills city,56.92,43.08
1750621,Morton village,38.84,61.15
1734982,Hillcrest village,47.98,52.02
1782101,Wilmington city,54.46,45.66
1741214,Lake Ka-Ho village,48.0,52.0
1772221,Standard village,37.66,62.34
1757628,Paris city,49.42,50.58
1749048,Milford village,47.81,52.19
1782088,Wilmington village,33.33,66.67
1761015,Pontiac city,50.95,49.04
1750933,Mount Erie village,41.67,50.0
1761548,Prairie City village,42.62,57.38
1701673,Apple River village,46.55,53.45
1714273,Chrisman city,72.76,27.24
1777941,Villa Grove city,54.17,46.08
1720162,Dixon city,53.8,46.19
1775965,Tremont village,54.5,45.5
1740676,La Fayette village,56.86,41.18
1710487,Calumet City city,57.39,42.61
1711176,Carbon Hill village,26.26,73.74
1701491,Andover village,63.1,36.9
1710370,Cahokia village,35.56,64.44
1711774,Catlin village,62.73,37.73
1744173,Loami village,40.26,60.39
1740416,Knoxville city,57.02,42.98
1709798,Burnham village,45.0,55.0
1767795,Saunemin village,36.89,63.11
1724062,Emington village,42.86,57.14
1768198,Sciota village,22.22,77.78
1743510,Limestone village,53.07,46.93
1754924,Oak Run CDP,48.15,51.85
1751154,Mount Sterling city,36.67,63.33
1748138,Medora village,22.86,71.43
1731667,Greenwood village,23.08,76.92
1739909,Kincaid village,53.26,46.36
1766131,Roxana village,19.51,80.49
1711332,Carol Stream village,44.44,55.55
1740091,Kingston Mines village,29.81,70.19
1710773,Campbell Hill village,31.58,68.42
1744082,Little York village,41.67,58.33
1770460,Somonauk village,45.52,54.24
1724608,Evansville village,35.87,64.13
1706613,Bloomington city,50.9,49.1
1765819,Rosemont village,47.93,52.08
1707419,Boulder Hill CDP,60.89,38.75
1772260,Stanford village,53.15,46.85
1744225,Lockport city,54.51,45.51
1716431,Cornland CDP,30.77,69.23
