tract_id,tract_name,male_wf,male_emp,pct_male_emp,female_wf,female_emp,pct_female_emp,total_wf,total_emp,pct_total_emp
17031191200,17031191200,1260,854,67.78,1387,615,44.34,2647,1469,55.5
17197883519,17197883519,1832,1249,68.18,2481,1583,63.8,4314,2833,65.67
17197883515,17197883515,1474,985,66.82,1674,1025,61.23,3148,2011,63.88
17197883514,17197883514,2556,1904,74.49,2809,1676,59.67,5364,3579,66.72
17031819300,17031819300,970,596,61.44,1174,735,62.61,2144,1331,62.08
17197883516,17197883516,2382,1795,75.36,2568,1587,61.8,4948,3382,68.35
17197883511,17197883511,1806,1415,78.35,1930,1362,70.57,3736,2777,74.33
17197883510,17197883510,1853,1553,83.81,1578,1047,66.35,3431,2599,75.75
17197883513,17197883513,1783,1263,70.84,2143,1021,47.64,3925,2283,58.17
17201002400,17201002400,659,362,54.93,1056,387,36.65,1715,749,43.67
17031834500,17031834500,455,148,32.53,628,222,35.35,1083,370,34.16
17097864519,17097864519,1802,1384,76.8,2100,1218,58.0,3902,2602,66.68
17097864518,17097864518,2106,1588,75.4,2147,1342,62.51,4253,2930,68.89
17031221000,17031221000,1014,582,57.4,1210,511,42.23,2224,1093,49.15
17097864516,17097864516,1529,1140,74.56,2061,1322,64.14,3590,2462,68.58
17097864515,17097864515,1021,619,60.63,1251,727,58.11,2272,1346,59.24
17097864514,17097864514,936,636,67.95,979,599,61.18,1917,1235,64.42
17031062300,17031062300,643,508,79.0,628,453,72.13,1271,961,75.61
17097864512,17097864512,1760,1401,79.6,1678,1013,60.37,3438,2413,70.19
17097864511,17097864511,2417,1862,77.04,2548,1629,63.93,4966,3491,70.3
17031210700,17031210700,1849,1313,71.01,1638,981,59.89,3487,2294,65.79
17031381900,17031381900,393,208,52.93,620,434,70.0,1013,642,63.38
17143005000,17143005000,671,255,38.0,1208,561,46.44,1879,816,43.43
17087980000,17087980000,1477,48,3.25,32,0,0.0,1509,48,3.18
17107952900,17107952900,1395,715,51.25,1610,1073,66.65,3006,1789,59.51
17197881601,17197881601,701,473,67.48,858,531,61.89,1559,1004,64.4
17031031000,17031031000,1431,1116,77.99,1815,1240,68.32,3246,2356,72.58
17089853300,17089853300,1551,852,54.93,2100,1151,54.81,3651,2003,54.86
17031243400,17031243400,1491,1131,75.86,1155,669,57.92,2646,1800,68.03
17197883401,17197883401,1738,841,48.39,1628,985,60.5,3366,1826,54.25
17031826500,17031826500,1993,1004,50.38,2563,1190,46.43,4556,2194,48.16
17115001400,17115001400,892,596,66.82,1164,535,45.96,2056,1131,55.01
17179020302,17179020302,2153,1464,68.0,2156,1023,47.45,4309,2487,57.72
