year,tract_id,tract_name,num_tracts,num_vacants,pct_vacant,pct_change,pct_owner_occupied
2009,17009,Brown County,2462,125.5,5.1,4.15,62.27
2009,17167,Sangamon County,89900,6258.25,6.96,48.54,65.35
2009,17165,Saline County,11697,992.25,8.48,17.15,64.78
2009,17163,St. Clair County,116249,8119.25,6.98,20.78,59.2
2009,17161,Rock Island County,65755,2961.25,4.5,36.59,65.43
2009,17001,Adams County,29842,967.75,3.24,28.6,66.47
2009,17003,Alexander County,4006,1690.75,42.21,7.91,50.7
2009,17005,Bond County,7089,441.5,6.23,34.71,69.04
2009,17007,Boone County,19969,2189.5,10.96,38.66,75.22
2009,17169,Schuyler County,3459,339.0,9.8,15.6,72.33
2009,17153,Pulaski County,3155,451.0,14.29,24.84,60.38
2009,17151,Pope County,2491,107.75,4.33,20.73,57.65
2009,17019,Champaign County,87568,4253.25,4.86,62.0,49.24
2009,17157,Randolph County,13707,970.5,7.08,11.3,65.66
2009,17155,Putnam County,3073,1350.5,43.93,5.55,62.88
2009,17013,Calhoun County,2835,170.5,6.01,66.75,58.1
2009,17159,Richland County,7513,445.0,5.92,13.02,68.55
2009,17011,Bureau County,15720,2480.5,15.78,12.42,68.53
2009,17017,Cass County,5836,735.25,12.6,27.87,61.46
2009,17015,Carroll County,8437,1589.75,18.84,20.57,60.82
2009,17081,Jefferson County,16954,1180.75,6.96,21.92,65.49
2009,17083,Jersey County,9848,3284.5,33.35,-4.79,70.13
2009,17085,Jo Daviess County,13574,2182.25,16.08,20.13,56.57
2009,17087,Johnson County,5598,599.5,10.71,40.65,63.34
2009,17089,Kane County,182046,9869.25,5.42,44.51,70.87
2009,17027,Clinton County,15310,896.0,5.85,19.91,75.6
2009,17025,Clay County,6404,1631.0,25.47,-8.49,67.88
2009,17023,Clark County,7772,532.25,6.85,12.11,64.35
2009,17021,Christian County,15563,818.0,5.26,27.17,67.47
2009,17029,Coles County,23425,965.75,4.12,16.43,56.32
2009,17149,Pike County,7951,735.25,9.25,6.37,64.7
2009,17145,Perry County,9426,651.5,6.91,31.09,67.84
2009,17147,Piatt County,7269,422.25,5.81,40.4,73.82
2009,17141,Ogle County,22561,2669.25,11.83,28.39,68.68
2009,17143,Peoria County,83034,4295.0,5.17,20.02,61.11
2009,17093,Kendall County,40321,5718.0,14.18,50.98,79.89
