name,id,avg_household_income,median_income,percent_poverty,per_capita_income
Sangamon County,17167,75390,55683,5.1,31683
Schuyler County,17169,58273,47860,5.4,23482
Scott County,17171,68729,49795,1.5,28415
Shelby County,17173,60340,46389,3.2,24867
South Chicago,46,50736,30560,32.0,17993
South Cook,315,72208,50586,6.6,25595
South Deering,51,54125,32279,29.3,18581
South Lawndale,30,52562,32838,26.5,12020
South Shore,43,47682,30273,24.6,21352
Southwest Cook,314,83636,62642,3.7,31238
St. Clair County,17163,70458,50513,4.8,27406
Stark County,17175,63499,52030,3.8,25690
Stephenson County,17177,58991,44635,5.2,24537
Tazewell County,17179,72397,56403,3.1,28953
Union County,17181,53931,41959,6.1,21705
Uptown,3,70830,43515,20.4,37348
Vermilion County,17183,55311,41027,6.4,22128
Wabash County,17185,61595,45013,4.1,25840
Warren County,17187,55937,41086,5.7,21854
Washingon Park,40,37401,22904,46.2,13834
Washington County,17189,65895,54713,1.7,26535
Washington Hei,73,59519,41348,18.6,21302
Wayne County,17191,54794,41521,3.8,23219
West Cook,313,85027,57789,6.2,30182
West Elsdon,62,64425,46558,15.0,17635
West Englewood,67,42581,26451,41.0,12493
West Garfield,26,39041,24506,42.0,12742
West Lawn,65,66739,47703,16.1,17540
West Pullman,53,59222,39871,26.3,18955
West Ridge,2,75759,45368,15.6,26069
West Town,24,96424,68357,16.3,44713
White County,17193,58883,42835,3.8,25348
Whiteside County,17195,64033,46351,5.0,25986
Will,1970,98919,76473,2.7,32886
Williamson County,17199,59452,41809,5.0,24568
Winnebago County,17201,66671,47474,7.8,26080
Woodford County,17203,85087,67926,2.6,31417
Woodlawn,42,50708,26968,25.9,20970
